DATE,DFF
2015-01-01,0.11288888888888888889
2015-04-01,0.12560439560439560440
2015-07-01,0.13478260869565217391
2015-10-01,0.16108695652173913043
2016-01-01,0.35978021978021978022
2016-04-01,0.36934065934065934066
2016-07-01,0.39489130434782608696
2016-10-01,0.44815217391304347826
2017-01-01,0.69888888888888888889
2017-04-01,0.94736263736263736264
2017-07-01,1.1536956521739130
2017-10-01,1.2046739130434783
2018-01-01,1.4470000000000000
2018-04-01,1.7369230769230769
2018-07-01,1.9261956521739130
2018-10-01,2.2201086956521739
2019-01-01,2.4017777777777778
2019-04-01,2.3973626373626374
2019-07-01,2.1921739130434783
2019-10-01,1.6456521739130435
2020-01-01,1.2549450549450549
2020-04-01,0.05879120879120879121
2020-07-01,0.09260869565217391304
2020-10-01,0.08880434782608695652
