DATE,GDPPOT,GDPC1,SRGDP
1/1/2015,17532.11313,17305.752,-1.291122914
4/1/2015,17611.17808,17422.845,-1.069395126
7/1/2015,17689.60324,17486.021,-1.150858147
10/1/2015,17766.76,17514.062,-1.422307725
1/1/2016,17843.15,17613.264,-1.288371168
4/1/2016,17918.15,17668.203,-1.394937535
7/1/2016,17991.97,17764.388,-1.264908734
10/1/2016,18065.05,17876.179,-1.045504994
1/1/2017,18137.7,17977.299,-0.884351379
4/1/2017,18211.07,18054.052,-0.86221183
7/1/2017,18287.13,18185.636,-0.555002343
10/1/2017,18365.29,18359.432,-0.031897128
1/1/2018,18446.4,18530.483,0.455823358
4/1/2018,18530.51,18654.383,0.668481332
7/1/2018,18617.42,18752.355,0.724778192
10/1/2018,18705.53,18813.923,0.579470349
1/1/2019,18794.82,18950.347,0.827499279
4/1/2019,18885.48,19020.599,0.715465003
7/1/2019,18976.49,19141.744,0.870835439
10/1/2019,19065.58,19253.959,0.988058061
1/1/2020,19153.98,19010.848,-0.74727028
4/1/2020,19242.04,17302.511,-10.07964332
7/1/2020,19327.31,18596.521,-3.781121118
10/1/2020,19414.16,18794.426,-3.192175196
